vulnerabilidade_id,ativo_id,cve,descricao,cvss,data_deteccao,status,prazo_sla_dias
VULN-001,ATV-007,CVE-2025-22457,Buffer overflow em cliente VPN,9.4,2026-03-25,Aberta,7
VULN-002,ATV-008,CVE-2025-1974,Insecure deserialization em microservico,9.0,2026-08-29,Corrigida,7
VULN-003,ATV-040,CVE-2025-1974,Insecure deserialization em microservico,9.0,2026-02-24,Corrigida,7
VULN-004,ATV-022,CVE-2025-0282,Escalada de privilegios local,7.4,2026-01-17,Aberta,14
VULN-005,ATV-002,CVE-2024-21762,Injecao de comando no firewall VPN,8.5,2026-04-15,Em correcao,14
VULN-006,ATV-007,CVE-2025-0282,Escalada de privilegios local,7.5,2026-02-03,Aberta,14
VULN-007,ATV-027,CVE-2025-1974,Insecure deserialization em microservico,9.0,2026-06-13,Em correcao,7
VULN-008,ATV-027,CVE-2025-24071,Vazamento de credenciais em arquivo de log,6.7,2026-03-10,Aberta,30
VULN-009,ATV-011,CVE-2025-1094,Injecao de SQL em portal web externo,8.4,2026-01-01,Em correcao,14
VULN-010,ATV-034,CVE-2025-1974,Insecure deserialization em microservico,8.5,2026-06-11,Aberta,14
VULN-011,ATV-001,CVE-2025-0282,Escalada de privilegios local,7.4,2026-08-23,Aberta,14
VULN-012,ATV-018,CVE-2024-21762,Injecao de comando no firewall VPN,8.5,2026-01-02,Em correcao,14
VULN-013,ATV-002,CVE-2025-0282,Escalada de privilegios local,7.7,2026-02-01,Corrigida,14
VULN-014,ATV-038,CVE-2024-38063,Corrupcao de memoria na pilha de rede,7.4,2026-06-26,Aberta,14
VULN-015,ATV-002,CVE-2025-22457,Buffer overflow em cliente VPN,8.7,2026-08-23,Corrigida,14
VULN-016,ATV-014,CVE-2025-0282,Escalada de privilegios local,7.9,2026-06-04,Corrigida,14
VULN-017,ATV-002,CVE-2025-2183,Execucao remota de codigo no servico de autenticacao,9.8,2026-07-12,Em correcao,7
VULN-018,ATV-001,CVE-2025-0282,Escalada de privilegios local,7.6,2026-04-14,Aberta,14
VULN-019,ATV-018,CVE-2025-20188,Divulgacao de informacoes em API interna,5.6,2026-03-23,Em correcao,30
VULN-020,ATV-005,CVE-2024-38063,Corrupcao de memoria na pilha de rede,7.8,2026-02-26,Em correcao,14
VULN-021,ATV-006,CVE-2024-38063,Corrupcao de memoria na pilha de rede,7.6,2026-04-26,Corrigida,14
VULN-022,ATV-002,CVE-2024-21762,Injecao de comando no firewall VPN,8.6,2026-04-04,Aberta,14
VULN-023,ATV-005,CVE-2025-0282,Escalada de privilegios local,7.5,2026-05-17,Aberta,14
VULN-024,ATV-039,CVE-2025-20188,Divulgacao de informacoes em API interna,5.4,2026-07-08,Aberta,30
VULN-025,ATV-019,CVE-2025-22457,Buffer overflow em cliente VPN,9.4,2026-02-22,Corrigida,7
VULN-026,ATV-004,CVE-2024-21762,Injecao de comando no firewall VPN,8.4,2026-05-27,Aberta,14
VULN-027,ATV-031,CVE-2024-21762,Injecao de comando no firewall VPN,8.2,2026-06-22,Aberta,14
VULN-028,ATV-012,CVE-2025-22457,Buffer overflow em cliente VPN,8.8,2026-07-14,Aberta,14
VULN-029,ATV-036,CVE-2024-4577,Contorno de validacao em gateway de API,8.5,2026-03-30,Aberta,14
VULN-030,ATV-004,CVE-2025-22457,Buffer overflow em cliente VPN,9.0,2026-04-01,Corrigida,7
VULN-031,ATV-030,CVE-2025-1094,Injecao de SQL em portal web externo,8.6,2025-11-24,Aberta,14
VULN-032,ATV-004,CVE-2024-38063,Corrupcao de memoria na pilha de rede,7.2,2026-03-06,Em correcao,14
VULN-033,ATV-010,CVE-2024-4577,Contorno de validacao em gateway de API,8.5,2026-03-26,Em correcao,14
VULN-034,ATV-030,CVE-2024-4577,Contorno de validacao em gateway de API,8.0,2026-06-17,Aberta,14
VULN-035,ATV-012,CVE-2024-21762,Injecao de comando no firewall VPN,8.3,2026-09-15,Aberta,14
VULN-036,ATV-037,CVE-2024-4577,Contorno de validacao em gateway de API,8.1,2026-08-03,Corrigida,14
VULN-037,ATV-028,CVE-2025-20188,Divulgacao de informacoes em API interna,5.2,2026-01-16,Em correcao,30
VULN-038,ATV-004,CVE-2024-21762,Injecao de comando no firewall VPN,8.6,2026-04-06,Aberta,14
VULN-039,ATV-002,CVE-2025-2183,Execucao remota de codigo no servico de autenticacao,9.8,2026-05-13,Corrigida,7
VULN-040,ATV-020,CVE-2024-4577,Contorno de validacao em gateway de API,7.8,2026-01-03,Em correcao,14
VULN-041,ATV-001,CVE-2025-22457,Buffer overflow em cliente VPN,9.5,2026-01-27,Em correcao,7
VULN-042,ATV-022,CVE-2025-20188,Divulgacao de informacoes em API interna,5.6,2026-07-11,Em correcao,30
VULN-043,ATV-023,CVE-2025-0282,Escalada de privilegios local,7.5,2026-02-23,Corrigida,14
VULN-044,ATV-003,CVE-2025-0282,Escalada de privilegios local,8.0,2026-01-02,Corrigida,14
VULN-045,ATV-003,CVE-2025-20188,Divulgacao de informacoes em API interna,5.6,2026-05-10,Aberta,30
VULN-046,ATV-039,CVE-2025-2183,Execucao remota de codigo no servico de autenticacao,9.8,2026-09-07,Aberta,7
VULN-047,ATV-008,CVE-2024-38063,Corrupcao de memoria na pilha de rede,7.3,2026-07-01,Corrigida,14
VULN-048,ATV-001,CVE-2025-22457,Buffer overflow em cliente VPN,9.0,2026-07-28,Em correcao,7
VULN-049,ATV-003,CVE-2025-20188,Divulgacao de informacoes em API interna,5.6,2026-07-26,Aberta,30
VULN-050,ATV-019,CVE-2025-1094,Injecao de SQL em portal web externo,8.8,2026-01-06,Corrigida,14
VULN-051,ATV-005,CVE-2024-38063,Corrupcao de memoria na pilha de rede,7.9,2026-03-18,Aberta,14
VULN-052,ATV-001,CVE-2024-38063,Corrupcao de memoria na pilha de rede,7.5,2026-06-03,Aberta,14
VULN-053,ATV-016,CVE-2025-2183,Execucao remota de codigo no servico de autenticacao,9.4,2026-08-03,Aberta,7
VULN-054,ATV-032,CVE-2024-4577,Contorno de validacao em gateway de API,8.5,2025-12-30,Corrigida,14
VULN-055,ATV-017,CVE-2025-0282,Escalada de privilegios local,7.8,2026-04-19,Corrigida,14
